industry,n_firms,beta,roe,cost_of_equity,roe_coe,equity_eva,roic,wacc,roic_wacc,firm_eva
Advertising,52.0,1.2105,-1.34,9.35,-10.69,-886.0,27.72,7.81,19.92,2566.0
Aerospace/Defense,79.0,0.9455,15.27,8.17,7.1,11617.0,16.01,7.6,8.41,20402.0
Air Transport,23.0,1.1855,14.19,9.24,4.96,2147.0,7.93,6.72,1.2,1673.0
Apparel,35.0,0.9359,10.42,8.12,2.3,536.0,15.77,7.13,8.63,3089.0
Auto & Truck,33.0,1.4565,3.16,10.45,-7.29,-14806.0,2.25,9.38,-7.13,-38484.0
Auto Parts,35.0,1.3394,2.17,9.92,-7.75,-2257.0,8.98,8.18,0.8,398.0
Bank (Money Center),15.0,0.761,12.86,7.34,5.52,61645.0,,4.98,,15.0
Banks (Regional),568.0,0.3985,9.75,5.73,4.03,20820.0,,4.98,,15.0
Beverage (Alcoholic),14.0,0.8125,0.57,7.57,-7.01,-1892.0,15.74,6.48,9.26,3219.0
Beverage (Soft),27.0,0.6415,30.92,6.81,24.1,19003.0,29.03,6.33,22.7,27343.0
Broadcasting,24.0,0.4708,3.99,6.05,-2.06,-761.0,14.57,5.09,9.48,5296.0
Brokerage & Investment Banking,32.0,1.1715,17.77,9.17,8.59,24884.0,,6.08,,15.0
Building Materials,41.0,1.1115,16.0,8.91,7.09,4110.0,20.16,7.85,,15.0
Business & Consumer Services,155.0,0.888,18.2,7.91,10.29,10716.0,28.3,7.23,21.06,22267.0
Cable TV,9.0,0.7407,11.06,7.25,3.81,5372.0,12.06,5.2,6.86,20410.0
Chemical (Basic),29.0,1.0122,-8.29,8.46,-16.75,-8684.0,3.72,6.22,-2.5,-2021.0
Chemical (Diversified),4.0,0.8507,-15.3,7.74,-23.05,-984.0,4.05,5.23,-1.17,-121.0
Chemical (Specialty),59.0,0.9698,3.5,8.28,-4.78,-8264.0,10.95,7.25,3.7,7574.0
Coal & Related Energy,16.0,1.071,-2.51,8.73,-11.24,-822.0,-4.76,8.41,-13.17,-891.0
Computer Services,64.0,1.0879,18.25,8.8,9.45,7879.0,26.35,7.83,18.52,16832.0
Computers/Peripherals,36.0,1.3503,-0.17,9.97,-10.15,-11614.0,44.76,9.71,35.05,113949.0
Construction Supplies,40.0,1.1504,22.86,9.08,13.78,13000.0,16.71,8.29,8.42,12869.0
Diversified,20.0,0.881,11.37,7.88,3.49,22982.0,14.82,7.3,7.53,51528.0
Drugs (Biotechnology),496.0,1.1353,-5.67,9.01,-14.69,-28319.0,3.53,8.49,-4.97,-27331.0
Drugs (Pharmaceutical),228.0,0.9828,24.04,8.33,15.71,47072.0,16.95,7.85,9.1,55007.0
Education,32.0,0.7809,15.9,7.43,8.47,1306.0,15.94,6.75,9.19,1871.0
Electrical Equipment,112.0,1.2511,1.53,9.53,-8.0,-6638.0,15.6,8.99,6.6,5396.0
Electronics (Consumer & Office),8.0,0.866,-28.81,7.81,-36.62,-303.0,-8.35,7.63,-15.98,-303.0
Electronics (General),114.0,0.9715,12.62,8.28,4.33,3822.0,17.91,7.85,10.06,9423.0
Engineering/Construction,48.0,1.21,26.14,9.35,16.79,6377.0,25.32,8.69,16.63,6403.0
Entertainment,92.0,0.8252,6.09,7.63,-1.54,-2892.0,12.42,7.13,5.29,11313.0
Environmental & Waste Services,53.0,0.9455,19.74,8.17,11.57,3803.0,31.75,7.43,24.33,8579.0
Farming/Agriculture,35.0,1.1292,12.04,8.99,3.05,2206.0,7.28,7.27,0.01,8.0
Financial Svcs. (Non-bank & Insurance),176.0,0.9697,28.82,8.27,20.54,92502.0,,5.0,1500.0,15.0
Food Processing,78.0,0.6075,4.6,6.66,-2.06,-3626.0,15.95,5.79,10.16,17680.0
Food Wholesalers,13.0,0.8666,18.22,7.82,10.41,1551.0,17.84,6.53,11.3,3401.0
Furn/Home Furnishings,27.0,0.8232,3.11,7.62,-4.51,-860.0,10.59,6.53,4.05,1237.0
Green & Renewable Energy,15.0,0.8563,-7.36,7.77,-15.13,-1432.0,3.64,6.04,-2.41,-782.0
Healthcare Products,204.0,0.9086,11.26,8.0,3.26,7939.0,16.98,7.54,9.44,23932.0
Healthcare Support Services,104.0,0.872,9.89,7.84,2.05,7031.0,31.19,6.83,24.37,57286.0
Heathcare Information and Technology,115.0,1.1083,6.4,8.89,-2.5,-4464.0,13.72,8.22,5.49,8519.0
Homebuilding,30.0,0.9106,14.23,8.01,6.22,7003.0,14.91,7.27,7.64,9091.0
Hospitals/Healthcare Facilities,31.0,0.7997,50.84,7.52,43.32,9022.0,22.16,6.19,15.98,13816.0
Hotel/Gaming,63.0,1.0804,45.38,8.77,36.61,19719.0,14.58,7.36,7.22,17760.0
Household Products,110.0,0.8155,27.02,7.59,19.43,17919.0,34.42,7.03,27.39,29861.0
Information Services,15.0,0.9206,14.95,8.06,6.89,1218.0,22.17,7.0,15.18,2831.0
Insurance (General),21.0,0.672,19.07,6.95,12.12,4479.0,44.51,6.34,38.17,9146.0
Insurance (Life),20.0,0.6445,12.87,6.82,6.05,8840.0,10.77,5.6,5.16,10450.0
Insurance (Prop/Cas.),57.0,0.4841,18.71,6.11,12.61,32800.0,18.49,5.78,12.71,37559.0
Investments & Asset Management,283.0,0.6596,15.88,6.89,8.99,20909.0,14.25,6.13,8.12,27937.0
Machinery,105.0,0.9636,16.42,8.25,8.18,10356.0,24.41,7.7,16.71,18811.0
Metals & Mining,73.0,1.043,17.79,8.6,9.19,3313.0,27.04,8.2,18.85,9840.0
Office Equipment & Services,14.0,1.3344,13.23,9.9,3.32,149.0,18.26,7.92,10.34,727.0
Oil/Gas (Integrated),4.0,0.2994,9.96,5.29,4.67,21092.0,8.45,5.07,3.38,17986.0
Oil/Gas (Production and Exploration),142.0,0.7214,12.21,7.17,5.04,14646.0,13.73,6.25,7.48,31740.0
Oil/Gas Distribution,23.0,0.6692,18.03,6.93,11.1,8751.0,12.35,5.78,6.57,13414.0
Oilfield Svcs/Equip.,97.0,0.9512,8.65,8.19,0.45,801.0,11.94,7.04,4.89,11772.0
Packaging & Container,19.0,1.0219,12.29,8.51,3.79,1533.0,14.82,6.75,8.07,4995.0
Paper/Forest Products,6.0,0.958,7.01,8.22,-1.21,-65.0,10.41,6.93,3.49,223.0
Power,46.0,0.4824,12.4,6.1,6.3,25356.0,6.92,5.01,1.91,20154.0
Precious Metals,56.0,0.8366,23.52,7.68,15.84,6990.0,25.45,7.47,17.99,9734.0
Publishing & Newspapers,19.0,0.563,13.83,6.46,7.37,1048.0,17.63,5.95,11.69,1420.0
R.E.I.T.,190.0,0.6418,5.04,6.81,-1.77,-9836.0,3.2,5.32,-2.11,-30451.0
Real Estate (Development),14.0,0.8436,5.06,7.71,-2.65,-136.0,7.04,5.82,1.22,129.0
Real Estate (General/Diversified),12.0,0.81,10.77,7.56,3.21,69.0,5.19,6.25,-1.06,-42.0
Real Estate (Operations & Services),54.0,0.9655,3.3,8.26,-4.95,-1995.0,5.94,7.41,-1.47,-718.0
Recreation,49.0,1.0235,-12.76,8.51,-21.28,-4342.0,8.02,6.76,1.27,622.0
Reinsurance,1.0,0.5813,7.79,6.54,1.25,138.0,10.14,5.64,4.51,499.0
Restaurant/Dining,64.0,0.9241,0.1,8.07,,,18.36,7.16,11.2,14333.0
Retail (Automotive),34.0,0.936,34.38,8.12,26.26,7263.0,12.19,6.78,5.42,6544.0
Retail (Building Supply),14.0,1.5353,,10.8,1500.0,15.0,34.95,9.51,25.44,21535.0
Retail (Distributors),62.0,0.9484,18.33,8.18,10.15,7896.0,16.11,7.22,8.9,11464.0
Retail (General),23.0,0.8052,26.05,7.54,18.51,78806.0,13.59,7.27,6.32,54036.0
Retail (Grocery and Food),15.0,1.1183,12.9,8.94,3.96,1121.0,6.76,7.24,-0.48,-291.0
Retail (REITs),26.0,0.6207,6.36,6.72,-0.35,-339.0,5.16,5.57,-0.41,-803.0
Retail (Special Lines),94.0,1.0894,30.12,8.81,21.31,11117.0,21.54,8.01,13.53,13811.0
Rubber& Tires,3.0,0.5294,-36.41,6.31,-42.72,-2039.0,3.17,4.48,-1.31,-189.0
Semiconductor,66.0,1.5182,31.36,10.72,20.64,101837.0,27.23,10.55,16.68,107897.0
Semiconductor Equip,31.0,1.3972,35.78,10.18,25.6,14058.0,28.4,9.89,18.51,14565.0
Shipbuilding & Marine,8.0,0.7529,10.15,7.31,2.85,203.0,11.99,6.69,5.3,432.0
Shoe,11.0,1.0173,19.49,8.49,11.0,2152.0,20.93,8.01,12.92,3027.0
Software (Entertainment),77.0,1.0283,36.51,8.54,27.97,141504.0,27.02,8.44,18.57,145162.0
Software (Internet),29.0,1.6887,-1.47,11.48,-12.95,-2987.0,3.43,10.66,-7.22,-3510.0
Software (System & Application),309.0,1.2766,29.62,9.64,19.98,109368.0,29.32,9.34,19.97,141358.0
Steel,19.0,1.0628,3.68,8.69,-5.01,-2838.0,6.72,7.76,-1.04,-623.0
Telecom (Wireless),12.0,0.5381,16.06,6.35,9.71,7089.0,10.37,5.48,4.89,8568.0
Telecom. Equipment,57.0,0.9232,24.96,8.07,16.89,11970.0,25.47,7.72,17.75,15731.0
Telecom. Services,39.0,0.6287,19.82,6.75,13.06,27064.0,12.04,5.39,6.65,32148.0
Tobacco,10.0,0.7943,,7.49,1500.0,15.0,63.08,6.94,56.14,21962.0
Transportation,19.0,0.8599,36.58,7.79,28.8,19683.0,13.0,6.72,6.28,10347.0
Transportation (Railroads),4.0,0.9751,29.07,8.3,20.77,9069.0,14.24,7.27,6.97,7811.0
Trucking,26.0,1.0113,7.6,8.46,-0.86,-360.0,9.3,7.52,1.78,1028.0
Utility (General),14.0,0.2394,10.42,5.02,5.4,8882.0,5.99,4.36,1.64,6681.0
Utility (Water),14.0,0.4127,17.21,5.79,11.42,2454.0,8.96,4.93,4.03,1731.0
